Point	x	y	z
817	1.428911	1.496738	0.376993
818	1.4484	1.521291	0.353198
819	1.4451	1.488832	0.445761
820	1.371175	1.601158	0.244874
821	1.494722	1.809549	0.178699
822	1.479487	1.837937	0.16742
823	1.376902	1.62982	0.25219
824	1.376986	1.628676	0.223201
825	1.427912	1.565854	0.238744
826	1.415626	1.513451	0.323179
827	1.45189	1.838911	0.200448
828	1.480424	1.829968	0.192425
829	1.449091	1.850576	0.192697
830	1.436121	1.478412	0.466683
831	1.360639	1.589654	0.306726
832	1.403536	1.498543	0.354803
833	1.352899	1.548262	0.328241
834	1.33836	1.501715	0.438371
835	1.384145	1.665405	0.1091
836	1.44687	1.757647	0.181812
837	1.420788	1.77151	0.184198
838	1.344886	1.521322	0.387739
839	1.409094	1.817074	0.172092
840	1.421315	1.839082	0.1959
841	1.394092	1.70137	0.125467
842	1.364168	1.594006	0.282752
843	1.363397	1.561547	0.284858
844	1.401675	1.76503	0.143451
845	1.421816	1.8479	0.186556
846	1.357383	1.508116	0.371829
847	1.372313	1.547778	0.283591
848	1.361835	1.465849	0.468869
849	1.40729	1.661961	0.095932
850	1.42887	1.703401	0.105486
851	1.425883	1.804461	0.142548
852	1.45005	1.850342	0.169207
853	1.387836	1.518133	0.315535
854	1.464372	1.721371	0.112577
855	1.377086	1.45663	0.457476
856	1.381387	1.469443	0.435402
857	1.429906	0.989451	0.838266
858	1.419564	1.039381	0.841304
859	1.419103	1.038512	0.792057
860	1.216663	0.906131	0.873477
861	1.4218	1.051517	0.893674
862	1.430329	1.028844	0.886809
863	1.410573	1.061184	0.798923
864	1.30728	0.877363	0.968979
865	1.151201	0.953206	0.888589
866	1.376644	0.903281	0.871684
867	1.164837	0.938782	0.85605
868	1.422658	0.955449	0.827928
869	1.180158	0.919593	0.870397
870	1.254424	0.930586	0.775447
871	1.405479	0.924573	0.849716
872	1.345041	0.901818	0.870948
873	1.254622	0.899854	0.874829
874	1.076873	1.060278	0.959495
875	1.111517	1.059529	0.933789
876	1.100502	0.979442	0.917386
877	1.0555	0.983037	0.927472
878	1.089834	0.97606	0.916621
879	1.071022	0.976846	0.919981
880	1.04594	1.039531	0.950766
