Point	x	y	z
188	1.0695	1.116901	0.817727
189	1.049535	1.093307	0.828403
190	1.156585	1.516427	0.551186
191	1.216862	0.875398	0.97286
192	1.171206	0.889464	0.967905
193	1.216465	0.936864	0.774095
194	1.156273	1.005901	0.743473
195	1.152324	1.040733	0.731449
196	1.503674	1.110226	0.764842
197	1.093522	1.839764	0.149241
198	1.078287	1.811376	0.16052
199	1.436944	1.524839	0.512042
200	1.444582	1.504453	0.534176
201	1.346899	1.485757	0.51139
202	1.359002	1.504165	0.486788
203	1.260956	1.04577	1.171476
204	1.464295	1.076325	0.816142
205	1.460558	1.047075	0.809624
206	1.432565	1.040981	0.939179
207	1.586766	1.314789	0.56482
208	1.598712	1.314907	0.580412
209	1.546256	1.367937	0.534858
210	1.536008	1.339684	0.518262
211	1.549551	1.325663	0.523076
212	1.201966	1.19903	0.6195
213	1.191147	1.430629	0.575895
214	1.541493	0.997755	0.900112
215	1.527036	0.976568	0.90266
216	1.535797	1.033274	0.800159
217	1.05627	1.361874	0.543358
218	1.178312	0.969635	0.49816
219	1.216963	0.984539	0.463381
220	1.263098	0.950014	0.489706
221	1.226923	1.493179	0.482136
222	1.353211	1.060386	1.316852
223	1.138661	1.472142	0.490302
224	1.145213	1.456353	0.511504
225	1.41877	1.521065	0.552904
226	1.484436	1.030355	1.022763
227	1.46355	1.02076	1.005414
228	1.532403	1.079929	0.744982
229	1.544983	1.10656	0.74858
230	1.11117	0.911913	1.076542
231	1.54195	1.056984	0.807955
232	1.541122	1.040473	0.90503
233	1.457658	0.912709	1.008771
234	1.46509	0.906012	1.049881
235	1.359846	1.111505	0.703387
236	1.415654	0.882665	0.984782
237	1.201834	1.602984	0.226696
238	1.416252	1.061648	0.678036
239	1.420861	1.015174	0.65617
240	1.396857	1.057903	0.627763
241	1.428093	1.016708	0.834438
242	1.360393	0.971906	1.198901
243	1.360533	0.966126	1.12673
244	1.34912	0.995576	1.182888
245	1.261055	1.00047	1.174742
246	1.199758	1.066282	1.045984
247	1.145202	1.030574	1.044708
248	1.158942	1.021288	0.629449
249	1.127909	1.490659	0.427582
250	1.124609	1.523118	0.33502
251	1.144098	1.498566	0.358814
252	1.480571	1.101947	0.751218
253	1.127495	1.068189	0.477932
254	1.109245	1.097713	0.498239
255	1.032895	1.094099	0.811468
256	1.039966	1.08309	0.82059
257	1.358601	0.939021	1.128712
258	1.154526	1.453006	0.489649
259	1.478968	1.12285	0.748478
260	1.218147	1.493031	0.548167
261	1.442464	1.42086	0.561183
262	1.054944	1.269141	0.511359
263	1.579049	1.331203	0.549238
264	1.398471	1.090421	0.684032
265	1.410112	1.060315	0.749677
266	1.158939	0.992356	0.789482
267	1.317213	1.264715	0.546893
268	1.559333	1.209988	0.65242
269	1.565234	1.229121	0.639067
270	1.095937	1.034199	0.820896
271	1.117428	1.019938	0.882776
272	1.094395	1.030851	1.035616
273	1.075553	1.106107	0.850873
274	1.316079	1.264335	0.501262
275	1.307781	1.215226	0.529991
276	1.52924	0.968646	1.051988
277	1.359982	0.947991	1.216716
278	1.340989	0.919455	1.224438
279	1.343174	0.910997	1.130999
280	1.469401	1.016239	0.825762
281	1.045496	1.113375	0.813858
282	1.090188	0.950361	1.092627
283	1.544145	1.090901	0.740458
284	1.291792	0.897057	1.139586
285	1.53631	1.072067	0.831047
286	1.177867	1.538628	0.490723
287	1.187289	1.543915	0.510466
288	1.164399	0.980631	0.691714
289	1.15353	0.974876	0.58836
290	1.385968	1.473942	0.565448
291	1.375616	1.501619	0.561696
292	1.369578	1.47188	0.555738
293	1.123791	0.986694	0.940994
294	1.21382	1.112033	0.708035
295	1.553825	1.274107	0.513129
296	1.485566	0.992304	1.09216
297	1.508133	1.007994	1.061875
298	1.309121	0.93282	0.560027
299	1.245484	0.940881	0.654791
300	1.221307	0.937758	0.562902
301	1.411131	1.012699	0.612497
302	1.407586	0.975561	0.5749
303	1.436664	1.010497	0.588262
304	1.364132	0.974339	0.475766
305	1.402801	0.984889	0.483068
306	1.377956	0.954415	0.519655
307	1.46314	1.226191	0.568904
308	1.45757	1.421584	0.530425
309	1.478429	1.086566	0.736359
310	1.591385	1.342131	0.545063
311	1.546855	1.373219	0.524801
312	1.453158	1.010723	0.996351
313	1.161	1.470521	0.41516
314	1.418788	1.023457	0.723678
315	1.537798	1.222047	0.55062
316	1.541833	1.212619	0.561628
317	1.436253	1.48334	0.48059
318	1.437844	1.507491	0.489461
319	1.161855	1.056795	0.783447
320	1.533988	0.988466	1.007495
321	1.083512	1.251434	0.571456
322	1.068784	1.268753	0.531885
323	1.048146	1.001711	0.890102
324	1.170898	1.473493	0.465718
325	1.117383	1.005541	0.52499
326	1.107662	1.019947	0.578604
327	1.338258	1.003469	1.173032
328	1.342097	1.000818	1.123334
329	1.101161	1.098345	0.777329
330	1.088745	1.116074	0.808519
331	1.105419	1.08936	0.79362
332	1.143462	0.914057	0.987696
333	1.133872	0.930359	1.000575
334	1.425545	0.91022	0.921151
335	1.408077	0.97357	0.740563
336	1.330677	1.144517	0.55675
337	1.349001	1.139269	0.590231
338	1.316705	1.181529	0.545824
339	1.067828	1.328984	0.533389
340	1.393748	1.078533	1.003343
341	1.315291	1.103249	0.943932
342	1.331461	1.076424	1.041211
343	1.365799	1.158916	0.61769
344	1.380951	1.237478	0.613102
345	1.466357	1.09921	0.527475
346	1.456368	1.067798	0.578456
347	1.266031	0.938636	0.697938
348	1.283135	0.97238	0.460577
349	1.127371	1.631702	0.103643
350	1.155245	1.608924	0.134079
351	1.13457	1.622537	0.13777
352	1.40759	0.968702	0.53387
353	1.175821	1.680668	0.190037
354	1.092308	0.917684	1.031041
355	1.065109	1.048742	0.790732
356	1.326567	1.010547	1.163497
357	1.120579	1.003408	0.516254
358	1.152433	0.998754	0.473445
359	1.15263	0.982008	0.493767
360	1.361908	1.477926	0.553309
361	1.371688	1.459596	0.532223
362	1.086603	1.315011	0.512477
363	1.072531	1.302501	0.518347
364	1.126914	1.023168	1.012739
365	1.111443	1.080839	0.836666
366	1.094173	1.10049	0.84485
367	1.327364	1.357382	0.510735
368	1.332383	1.364469	0.493043
369	1.315955	1.274171	0.50999
370	1.311991	0.895927	1.133797
371	1.411034	1.062054	0.84817
372	1.340158	0.929053	1.359229
373	1.247318	0.983497	1.127352
374	1.089184	1.231699	0.599384
375	1.064304	1.252179	0.648483
376	1.054003	1.233054	0.574407
377	1.535101	1.05987	0.750667
378	1.527152	1.247074	0.624294
379	1.530428	1.047298	0.754052
380	1.386133	1.523592	0.552159
381	1.401018	1.499709	0.567419
382	1.196817	1.600163	0.205153
383	1.489924	1.016561	0.793008
384	1.08613	1.010922	1.070184
385	1.399547	0.953065	0.768574
386	1.549279	1.217754	0.560236
387	1.163976	0.983695	0.752091
388	1.132995	1.548696	0.468134
389	1.121528	1.520519	0.459854
390	1.144925	1.509889	0.483086
391	1.539658	0.995446	0.949131
392	1.151041	1.042441	0.675156
393	1.573561	1.294071	0.608979
394	1.110059	1.251495	0.571996
395	1.10143	1.222305	0.559447
396	1.107828	1.085392	0.598209
397	1.159115	1.533113	0.49036
398	1.280138	1.012561	1.16076
399	1.265431	1.004003	1.12458
400	1.247511	1.04984	1.325245
401	1.11732	1.049957	0.857067
402	1.370037	0.946394	0.558842
403	1.39781	0.968968	0.649673
404	1.366799	0.950523	0.641741
405	1.418039	1.047229	1.060859
406	1.134778	0.903639	1.035053
407	1.23965	0.946279	1.13099
408	1.081615	1.123536	0.784518
409	1.065071	1.051719	0.806224
410	1.328083	0.952543	0.490774
411	1.16672	1.568646	0.471551
412	1.129698	1.612288	0.330076
413	1.035748	1.247715	0.641632
414	1.120832	1.039993	0.61224
415	1.385414	0.938927	0.778282
416	1.137918	1.011621	1.012282
417	1.138056	1.244767	0.601378
418	1.156526	1.430513	0.573425
419	1.129088	1.429767	0.552673
420	1.200578	0.884642	1.070613
421	1.16661	0.885231	1.019741
422	1.25039	0.871009	1.049612
423	1.226647	1.548578	0.459755
424	1.511413	0.981044	1.077089
425	1.513208	0.948413	1.072938
426	1.524049	0.993998	1.053043
427	1.059512	1.217243	0.593225
428	1.431691	0.977284	1.111573
429	1.133847	1.500633	0.530655
430	1.255495	1.222874	0.550234
431	1.550676	1.109345	0.731914
432	1.030704	1.335321	0.5639
433	1.058421	1.127332	0.789107
434	1.066881	1.054436	0.770764
435	1.224452	1.470806	0.533888
436	1.473786	1.092674	0.713071
437	1.422099	1.033689	0.697893
438	1.584039	1.270389	0.625173
439	1.587382	1.255931	0.617548
440	1.524652	1.225189	0.639614
441	1.254626	1.142126	0.529252
442	1.230764	1.143639	0.559987
443	1.15626	1.06364	0.709369
444	1.319122	0.941242	0.646808
445	1.365534	0.944965	0.702668
446	1.131796	1.490266	0.51451
447	1.300051	1.015702	1.12194
448	1.477119	1.076031	0.797354
449	1.390475	0.994491	0.465589
450	1.224951	1.568058	0.359973
451	1.226015	1.559046	0.342835
452	1.445746	0.987944	0.946001
453	1.096892	1.325458	0.51227
454	1.299948	1.150332	0.561079
455	1.197139	1.566561	0.471239
456	1.195252	1.622325	0.291752
457	1.299808	1.016309	1.155234
458	1.094355	1.106576	0.76616
459	1.033441	1.111796	0.791988
460	1.443215	1.103868	0.478863
461	1.442868	1.193275	0.474114
462	1.515558	1.205426	0.612354
463	1.513855	1.219123	0.584807
464	1.061238	1.23848	0.557972
465	1.075531	1.22437	0.580352
466	1.505184	1.086059	0.800951
467	1.15925	1.720154	0.168731
468	1.149717	1.699058	0.179102
469	1.48837	1.075321	0.729362
470	1.110273	1.032317	1.024057
471	1.48104	0.932288	0.984613
472	1.262958	0.905693	1.132617
473	1.234563	1.174452	0.589803
474	1.251246	1.180911	0.547429
475	1.118678	1.660219	0.156933
476	1.119478	1.572388	0.262511
477	1.119376	1.635698	0.226856
478	1.096436	1.07867	0.564664
479	1.172248	1.46163	0.43981
480	1.187876	0.956607	0.700956
481	1.198548	0.950999	0.660762
482	1.145559	1.074817	0.630706
483	1.16958	1.210913	0.618674
484	1.063835	1.286024	0.495966
485	1.06191	1.290081	0.637536
486	1.222547	1.070513	1.051764
487	1.528702	1.241787	0.553241
488	1.168656	1.549426	0.240227
