Area	m2	bui
198	2.49E-04	LeftArmsJoint
199	7.65E-04	R.Back_thigh
200	5.94E-04	R.Side_chest
201	2.27E-04	Crown
202	9.07E-04	Head
203	4.44E-04	L.Hand
204	3.60E-04	R.Back_thigh
205	7.61E-04	L.Side_chest
206	5.46E-04	R.Side_back
207	2.11E-04	RightArmsJoint
208	7.36E-04	R.Hand
209	1.44E-04	RightArmsJoint
210	4.44E-04	RightLegsJoint
211	2.83E-04	L.Hand
212	1.28E-03	R.front_thigh
213	1.05E-03	L.Upper_arm
214	4.41E-04	RightLegsJoint
215	1.36E-03	R.Side_chest
216	6.67E-05	R.Hand
217	4.82E-04	L.Side_back
218	5.40E-04	L.foreleg
219	4.20E-04	Head
220	6.87E-04	Crown
221	5.54E-04	Head
222	1.73E-04	RightArmsJoint
223	1.29E-03	R.Hand
224	1.59E-03	L.front_thigh
225	5.24E-04	L.foreleg
226	5.28E-04	Head
227	2.59E-03	R.front_thigh
228	2.72E-04	R.Fore_arm
229	7.81E-04	Crown
230	1.50E-03	Back_side
231	1.45E-03	R.Side_chest
232	5.32E-04	L.Upper_arm
233	1.35E-03	Head
234	4.20E-04	LeftArmsJoint
235	1.72E-04	LeftArmsJoint
236	1.08E-03	Back_side
237	9.44E-04	L.Upper_arm
238	1.63E-03	Head
239	3.21E-04	L.Upper_arm
240	2.97E-03	L.foreleg
241	1.99E-03	R.Side_back
242	6.91E-04	L.front_thigh
243	3.20E-04	L.Side_chest
244	3.25E-03	L.front_thigh
245	1.68E-03	L.Side_back
246	3.62E-05	LeftLegsJoint
247	4.75E-04	R.Upper_arm
248	5.74E-04	L.Upper_arm
249	3.31E-04	RightLegsJoint
250	7.13E-04	R.Upper_arm
251	9.75E-04	R.Side_chest
252	1.28E-03	R.Upper_arm
253	8.96E-04	Crown
254	3.16E-04	Head
255	2.46E-03	L.Side_chest
256	2.98E-03	L.front_thigh
257	1.51E-04	R.Fore_arm
258	1.86E-04	L.Hand
259	2.23E-03	R.front_thigh
260	3.60E-04	LeftArmsJoint
261	2.89E-04	LeftArmsJoint
262	3.79E-04	L.Side_back
263	3.18E-04	LeftLegsJoint
264	1.46E-04	L.Hand
265	4.91E-04	R.Upper_arm
266	2.29E-04	R.Fore_arm
267	6.21E-04	R.Side_chest
268	5.21E-04	R.Hand
269	2.76E-04	R.Hand
270	5.27E-04	Head
271	1.40E-03	L.Side_back
272	8.18E-04	L.Upper_arm
273	1.62E-03	L.Side_chest
274	5.33E-04	L.Hand
275	2.67E-03	Back_side
276	2.75E-04	R.Fore_arm
277	3.45E-04	LeftArmsJoint
278	6.86E-04	Head
