Area,Direction,Normal_Z,Result,Azimuth,Elevation
495,90,0.5174,UpDirection,116.87,31.15
496,90,0.9316,UpDirection,-27.77,68.69
497,270,0.2742,UpDirection,47.65,15.92
498,270,-0.4866,DownDirection,77.01,-29.12
499,90,0.1578,UpDirection,116.23,9.08
500,270,-0.3069,DownDirection,-1.39,-17.87
501,90,0.9902,UpDirection,-164.42,81.98
502,90,-0.7538,DownDirection,20.84,-48.92
503,270,-0.3759,DownDirection,103.74,-22.08
504,90,0.2807,UpDirection,72.13,16.3
505,270,-0.4674,DownDirection,-6.7,-27.87
506,270,0.6136,UpDirection,7.87,37.85
507,90,0.6243,UpDirection,136.19,38.63
508,90,-0.5495,DownDirection,3.38,-33.34
509,270,-0.3201,DownDirection,-9.74,-18.67
510,90,0.9614,UpDirection,-15.81,74.03
511,270,0.0759,UpDirection,20.43,4.35
512,270,0.7006,UpDirection,70.5,44.48
513,90,0.2087,UpDirection,17.03,12.05
514,270,-0.2947,DownDirection,91.86,-17.14
515,270,-0.0036,DownDirection,-38.43,-0.21
516,270,-0.0232,DownDirection,34.83,-1.33
517,90,0.8361,UpDirection,120.26,56.73
518,270,-0.5727,DownDirection,-32.03,-34.94
519,90,0.3988,UpDirection,47.61,23.51
520,90,0.8605,UpDirection,61.79,59.37
521,270,0.0916,UpDirection,-2.1,5.26
522,90,0.8577,UpDirection,-126.92,59.06
523,270,0.2252,UpDirection,16.65,13.01
524,270,0.1659,UpDirection,55.58,9.55
525,270,-0.1579,DownDirection,59.39,-9.09
526,90,0.5295,UpDirection,6.27,31.97
527,90,0.0643,UpDirection,-13.3,3.69
528,90,0.3609,UpDirection,112.8,21.16
529,90,-0.0284,DownDirection,-34.41,-1.63
530,270,-0.4195,DownDirection,37.18,-24.8
531,90,0.2637,UpDirection,102.27,15.29
532,90,0.275,UpDirection,62.7,15.96
533,90,0.9324,UpDirection,-135.95,68.81
534,90,0.192,UpDirection,-35.79,11.07
535,90,0.0205,UpDirection,170.6,1.17
536,90,-0.2954,DownDirection,178.03,-17.18
537,90,-0.5028,DownDirection,55.2,-30.19
538,90,0.6142,UpDirection,75.83,37.89
539,90,-0.0178,DownDirection,-1.53,-1.02
540,270,0.6027,UpDirection,11.82,37.06
541,90,-0.0854,DownDirection,43.76,-4.9
542,90,0.7014,UpDirection,50.43,44.54
543,270,-0.3377,DownDirection,6.02,-19.74
